ID,Address,City,Country,latitude,longitude
0,א סאפא ,ירושלים,ישראל,31.7320037,35.2048055
1,א שאבי 4,ירושלים,ישראל,31.81802,35.228361
2,א שייח' ,ירושלים,ישראל,31.7845528,35.2319225
3,א שייח' ,ירושלים,ישראל,31.7845528,35.2319225
4,א.י. שחראי ,ירושלים,ישראל,31.7704745,35.1855696
5,אבא אבן ,ירושלים,ישראל,31.7854131,35.2052998
10,אבו רביע ,ירושלים,ישראל,31.7499892,35.2394777
11,אביזוהר ,ירושלים,ישראל,31.7746161,35.1874251
12,אביטל ,ירושלים,ישראל,31.7510828,35.2116319
13,אבינדב ,ירושלים,ישראל,31.7940277,35.2200268
14,אביר יעקב ,ירושלים,ישראל,31.8396553,35.2496806
15,אבן האזל ,ירושלים,ישראל,31.7957155,35.2132341
16,אבן ח'לדון ,ירושלים,ישראל,31.7873597,35.2315857
18,אבן ישראל ,ירושלים,ישראל,31.7831677,35.2171951
20,אברהם אידלזון ,ירושלים,ישראל,31.8205808,35.1887976
21,אברהם פררה ,ירושלים,ישראל,31.7566617,35.189327
22,אברהם שטרן ,ירושלים,ישראל,31.7565785,35.1806121
24,אבשלום חביב ,ירושלים,ישראל,31.7514808,35.2380615
25,אגריפס ,ירושלים,ישראל,31.7834672,35.2147894
26,אגריפס 4,ירושלים,ישראל,31.7830364,35.2173753
27,אדם ,ירושלים,ישראל,31.7496228,35.2303137
28,אדמונד פלג ,ירושלים,ישראל,31.8413666,35.2444313
29,אהרון אשכולי 4,ירושלים,ישראל,31.8119478,35.193935
30,אהרון ברנד ,ירושלים,ישראל,31.7837588,35.1724218
31,אוהל יהושע ,ירושלים,ישראל,31.7959287,35.2089067
32,אוהלי יוסף ,ירושלים,ישראל,31.7975487,35.2165277
33,אורוגואי ,ירושלים,ישראל,31.7612209,35.1756859
35,אחד העם ,ירושלים,ישראל,31.7737859,35.2192873
38,אחמד עלי ,ירושלים,ישראל,31.7984497,35.2451385
39,אחמד עלי ,ירושלים,ישראל,31.7984497,35.2451385
40,אחמד שאוקי ,ירושלים,ישראל,31.813672,35.2298767
41,אייזיק רמבה ,ירושלים,ישראל,31.7511965,35.2292999
42,איסלנד ,ירושלים,ישראל,31.7590669,35.1641684
43,איסלנד 44,ירושלים,ישראל,31.7593838,35.164354
44,אל אביאד ,ירושלים,ישראל,31.7656797,35.2483388
49,אל ח'נסא ,ירושלים,ישראל,31.8158129,35.2301092
51,אל חרדוב ,ירושלים,ישראל,31.7803667,35.253724
52,אל חרירי ,ירושלים,ישראל,31.7860176,35.2357997
56,אל יעקובי ,ירושלים,ישראל,31.787687,35.2332186
57,אל כורמא' ,ירושלים,ישראל,31.763165,35.240385
62,אל מוקדסי ,ירושלים,ישראל,31.79007,35.238098
68,אל עומרי ,ירושלים,ישראל,31.7821216,35.236
70,אל קצר ,ירושלים,ישראל,31.740875,35.204796
72,אל ת'ורי 4,ירושלים,ישראל,31.764765,35.231474
75,אליהו לנקין ,ירושלים,ישראל,31.7504535,35.2243907
76,אליהו מרידור 44,ירושלים,ישראל,31.8158588,35.2486703
77,אליהו קורן 4,ירושלים,ישראל,31.722451,35.2244206
78,אליעזר הגדול ,ירושלים,ישראל,31.7547755,35.2051437
79,אליעזר הופיין ,ירושלים,ישראל,31.810094,35.1955961
80,אליעזר קפלן ,ירושלים,ישראל,31.7753303,35.1789062
81,אליעזר שילוני ,ירושלים,ישראל,31.7510445,35.1732722
82,אליעזרוב ,ירושלים,ישראל,31.7962326,35.2181334
85,אלפסי ,ירושלים,ישראל,31.7729121,35.2121092
86,אלקנה ,ירושלים,ישראל,31.7941351,35.2138576
88,אמרי בינה ,ירושלים,ישראל,31.7966837,35.2112363
91,אסתר המלכה ,ירושלים,ישראל,31.758942,35.2226146
92,אפרים אורבך ,ירושלים,ישראל,31.7887133,35.2224464
93,אפרסמון ,ירושלים,ישראל,31.7327867,35.2012491
94,אפרתה ,ירושלים,ישראל,31.7533957,35.2226423
95,אצ''ל ,ירושלים,ישראל,31.7511651,34.9819467
96,אצ''ל 4,ירושלים,ישראל,31.7511651,34.9819467
98,אריה אלטמן ,ירושלים,ישראל,31.82889,35.2463486
99,אריה בן אליעזר ,ירושלים,ישראל,31.7373066,35.1973355
100,אריה בן אליעזר ,ירושלים,ישראל,31.7373066,35.1973355
101,אריה דולצ'ין ,ירושלים,ישראל,31.7505607,35.1693182
102,אריה דולצ'ין 4,ירושלים,ישראל,31.7516282,35.1678449
103,אריה ורשבסקי ,ירושלים,ישראל,31.7295918,35.2195132
104,ארלוזורוב ,ירושלים,ישראל,31.7735825,35.2158253
105,ארץ חפץ ,ירושלים,ישראל,31.7957397,35.2234098
106,ארץ חפץ ,ירושלים,ישראל,31.7957397,35.2234098
107,ארתור הנטקה ,ירושלים,ישראל,31.7687225,35.1750029
108,ארתור הנטקה 4,ירושלים,ישראל,31.768934,35.1777577
109,אשר ,ירושלים,ישראל,31.7586595,35.2165166
110,בוסתנאי ,ירושלים,ישראל,31.7630108,35.2121393
111,בורוכוב ,ירושלים,ישראל,31.7677646,35.1776992
112,בורוכוב ,ירושלים,ישראל,31.7677646,35.1776992
113,בורוכוב 4,ירושלים,ישראל,31.7681371,35.1773751
114,בטן אל הווא ,ירושלים,ישראל,31.7664338,35.2399004
115,בטן אל הווא 4,ירושלים,ישראל,31.7664338,35.2399004
117,בית''ר ,ירושלים,ישראל,31.7547294,35.2245572
118,בית הדפוס ,ירושלים,ישראל,31.7861121,35.1862787
119,בית וגן ,ירושלים,ישראל,31.7641422,35.1866879
120,בית פאגי ,ירושלים,ישראל,31.778656,35.250367
122,בית שערים ,ירושלים,ישראל,31.79014,35.1963115
123,בני ברית 4,ירושלים,ישראל,31.7844018,35.2205257
124,בני בתירא ,ירושלים,ישראל,31.7557657,35.2044443
125,בצלאל ,ירושלים,ישראל,31.79313135,35.24714004
